emotion,energy_words,texture,energy_min,energy_max,vocal_hint,style_hint,arc_hint,mode_harmony,rhythm,tempo,register,dynamics,emotion_level
洒脱,松 快 扬,free,4,7,利落 明亮,folk rock,先抑后扬,大调 混合利底亚 切分律动,轻快切分 摇摆律动,95-115,中音区 放开,中强 放开,secondary
委屈,酸 闷 忍,sour,3,6,鼻音 压着,ballad,平铺渐抑,小调 半音下行 挂四悬置,弱拍 慢速,65-80,中低音 鼻音,弱 内收,secondary
愧疚,沉 缩 涩,guilty,2,5,低 收 内,acoustic,低开平铺,小调 下行二度 减和弦,迟缓附点 下沉,70-80,低音区 内收,弱→中弱 低垂,secondary
温馨,软 暖 甜,warm cozy,3,6,轻柔 温润,folk warm,平坦温暖,大调 六和弦 温暖七和弦,平稳 柔和摇摆,70-85,中音区 温润,中弱 温暖,core
疲惫,灰 重 慢,weary,1,4,气声 拖 哑,lo-fi,低平,小调 缓慢低音 弱功能进行,懒散附点 缓慢,60-70,低音区 倦怠,弱 倦,secondary
压抑,闷 紧 暗,suppressed,2,5,收 压 咬,dark pop,平铺带压,弗里几亚 持续音 无解和弦,机械重复 静止感,65-75,低音区 压抑,弱→中 闷,secondary
治愈,轻 暖 亮,healing,3,7,柔 放 暖,acoustic warm,先抑后扬,大调 五声音阶 上行解决,舒缓 呼吸感留白,72-85,中音区 透亮,中弱→中强 舒展,core
爆发,猛 热 冲,explosive,8,10,嘶吼 全开,rock metal,低开拉满,小调 强力和弦 三全音冲击,骤停骤起 重型切分,150-170,高音区 全开,极强 全开,secondary
决绝,冷 硬 断,cold decisive,5,8,清晰 干脆,pop rock,陡升,小调 正格终止反复 强拍重音,强拍坚定 终止重音,100-120,中高音 有力,中强→强 笃定,secondary
震惊,白 炸 顿,shock,7,9,吸气 高,cinematic,突变,半音阶 不协和音程 突然静止,突停 空白,60-70,中音突高,突强突弱 冲击,secondary
激情,热 烈 冲,passionate,7,10,放 亮 顶,rock anthem,全程高能,小调 连续上行 属七推动,密集推动 三连音冲刺,130-150,高音区 饱满,强→极强 澎湃,secondary
茫然,空 浮 滞,blank,1,4,飘 弱 断,ambient,平铺,全音阶 无明确调性 漂浮和声,漂浮无重音 不规则,60-75,中低音 飘,弱 漂浮,secondary
重逢,暖 亮 动,warm moved,4,7,颤 带笑,pop folk,先抑后扬,大调 升调解决 明亮色彩,上扬推进 明亮切分,90-110,中高音 明亮,中→强 明亮,secondary
夜想,深 静 绕,deep quiet,2,5,低 慢 轻,lo-fi night,低平缓绕,小调 五声音阶 幽暗音色,缓慢摇曳 夜感留白,65-75,低音区 呢喃,弱 呢喃,secondary
喜悦,亮 跳 满,bright bouncy,6,9,亮 弹 笑,pop,平稳上扬,大调 明亮进行 六度跳进,轻快跳进 弹性八分,110-130,高音区 跳跃,中→强 跳跃,core
自豪,正 满 昂,proud,5,8,宏 亮 稳,anthemic,稳步上升,大调 强力和弦 进行曲式,进行曲式 强拍重音,115-130,中高音 宏亮,强 宏亮,core
不甘,拧 绷 冲,defiant,5,8,咬 顶 强,rock,先压后顶,小调 上行半音挣扎 未解决,挣扎切分 停滞反复,85-100,中音区 绷紧,中→强 挣扎,secondary
麻木,灰 空 平,numb,1,3,平 直 无起伏,ambient,平铺,无调性倾向 静态和声 空洞五度,机械匀速 无重音,60-65,低音区 平,弱 平,core
心碎,裂 痛 塌,broken,2,4,哽咽 断 气,ballad,低开缓落,小调 下行二度线条 减七,缓慢附点 断裂停顿,55-70,中低音 哽咽,弱 哽咽,core
释然,松 明 轻,released,3,7,放 透 稳,folk,先抑后扬,大调 四度上行 干净终止,平稳 松开感,70-85,中音区 轻,中→弱 松开,secondary
思念,绵 绕 悬,longing soft,3,6,拖 轻 柔,ballad,平缓起伏,小调 大七色彩 缓慢琶音,摇曳缓慢 附点延绵,70-85,中音区 绵长,弱→中 绵长,core
期盼,翘 望 燃,hopeful,4,7,上挑 带光,pop,渐进上升,大调 属持续 挂四待解,等待式附点 轻推动,80-95,中高音 翘起,中弱→中 翘首,secondary
忐忑,抖 悬 乱,uneasy,3,6,颤 急 收,cinematic,起伏密集,小调 切分不安 半音游移,不安切分 加速感,95-115,中高音 抖动,中强 抖动,secondary
狂喜,炸 满 涌,ecstatic,8,10,亮 放 顶,pop rock,全程高能,大调 连续上行 明亮堆叠,密集跳跃 明亮切分,140-160,高音区 奔放,极强 奔放,secondary
沮丧,灰 塌 钝,dejected,1,4,低 拖 哑,lo-fi,平铺渐弱,小调 下行线条 弱拍,下沉八分 拖沓,65-75,低音区 塌陷,弱→中弱 塌陷,secondary
恐惧,寒 缩 颤,fearful,3,6,气促 抖 压,dark cinematic,平铺带压,半音阶 持续低音 不协和,急促 不规则停顿,120-140,高音区 尖锐,中强→极强 惊跳,core
嫉妒,涩 刺 暗,envious,3,6,收 咬 暗,dark pop,平铺渐抑,小调 不协和堆叠 切分,切分暗流 紧张,85-100,中低音 暗,中强 暗涌,secondary
悔恨,沉 钝 涩,remorseful,1,4,低 哑 顿,acoustic,低开平铺,小调 下行二度 慢速,迟缓 反复自责重音,65-75,低音区 沉,中弱 自责,secondary
感恩,暖 实 满,grateful,3,6,稳 暖 实,folk warm,平坦温暖,大调 温暖进行 厚实和声,平稳温暖 坚定八分,80-95,中音区 坚实,中 坚实,core
怀旧,旧 温 泛黄,nostalgic warm,2,5,轻 慢 柔,retro folk,平缓起伏,小调 大七 复古色彩,慵懒摇摆 复古律动,75-90,中低音 暖,中弱 暖,secondary
憋屈,闷 堵 胀,stifled,2,5,压 忍 闷,dark pop,平铺带压,小调 半音下行 挂留不解决,沉重八分 停滞,70-80,中低音 闷压,弱→中 堵,secondary
坦荡,开 亮 正,open,4,7,明 稳 放,folk rock,先抑后扬,大调 四度进行 干净和声,平稳开阔 八分推进,90-110,中音区 放开,中→强 开阔,secondary
